"","FILM","Rating","Rating_site"
"1","Avengers: Age of Ultron (2015)",4.3,"Rotten Tomatoes"
"2","Cinderella (2015)",4,"Rotten Tomatoes"
"3","Ant-Man (2015)",4.5,"Rotten Tomatoes"
"4","Do You Believe? (2015)",4.2,"Rotten Tomatoes"
"5","Hot Tub Time Machine 2 (2015)",1.4,"Rotten Tomatoes"
"6","The Water Diviner (2015)",3.1,"Rotten Tomatoes"
"7","Irrational Man (2015)",2.65,"Rotten Tomatoes"
"8","Top Five (2014)",3.2,"Rotten Tomatoes"
"9","Shaun the Sheep Movie (2015)",4.1,"Rotten Tomatoes"
"10","Love & Mercy (2015)",4.35,"Rotten Tomatoes"
"11","Far From The Madding Crowd (2015)",3.85,"Rotten Tomatoes"
"12","Black Sea (2015)",3,"Rotten Tomatoes"
"13","Leviathan (2014)",3.95,"Rotten Tomatoes"
"14","Unbroken (2014)",3.5,"Rotten Tomatoes"
"15","The Imitation Game (2014)",4.6,"Rotten Tomatoes"
"16","Taken 3 (2015)",2.3,"Rotten Tomatoes"
"17","Ted 2 (2015)",2.9,"Rotten Tomatoes"
"18","Southpaw (2015)",4,"Rotten Tomatoes"
"19","Night at the Museum: Secret of the Tomb (2014)",2.9,"Rotten Tomatoes"
"20","Pixels (2015)",2.7,"Rotten Tomatoes"
"21","McFarland, USA (2015)",4.45,"Rotten Tomatoes"
"22","Insidious: Chapter 3 (2015)",2.8,"Rotten Tomatoes"
"23","The Man From U.N.C.L.E. (2015)",4,"Rotten Tomatoes"
"24","Run All Night (2015)",2.95,"Rotten Tomatoes"
"25","Trainwreck (2015)",3.7,"Rotten Tomatoes"
"26","Selma (2014)",4.3,"Rotten Tomatoes"
"27","Ex Machina (2015)",4.3,"Rotten Tomatoes"
"28","Still Alice (2015)",4.25,"Rotten Tomatoes"
"29","Wild Tales (2014)",4.6,"Rotten Tomatoes"
"30","The End of the Tour (2015)",4.45,"Rotten Tomatoes"
"31","Red Army (2015)",4.3,"Rotten Tomatoes"
"32","When Marnie Was There (2015)",4.45,"Rotten Tomatoes"
"33","The Hunting Ground (2015)",3.6,"Rotten Tomatoes"
"34","The Boy Next Door (2015)",1.75,"Rotten Tomatoes"
"35","Aloha (2015)",1.55,"Rotten Tomatoes"
"36","The Loft (2015)",2,"Rotten Tomatoes"
"37","5 Flights Up (2015)",2.35,"Rotten Tomatoes"
"38","Welcome to Me (2015)",2.35,"Rotten Tomatoes"
"39","Saint Laurent (2015)",2.25,"Rotten Tomatoes"
"40","Maps to the Stars (2015)",2.3,"Rotten Tomatoes"
"41","I'll See You In My Dreams (2015)",3.5,"Rotten Tomatoes"
"42","Timbuktu (2015)",3.9,"Rotten Tomatoes"
"43","About Elly (2015)",4.3,"Rotten Tomatoes"
"44","The Diary of a Teenage Girl (2015)",4.05,"Rotten Tomatoes"
"45","Kingsman: The Secret Service (2015)",4.2,"Rotten Tomatoes"
"46","Tomorrowland (2015)",2.65,"Rotten Tomatoes"
"47","The Divergent Series: Insurgent (2015)",3.05,"Rotten Tomatoes"
"48","Annie (2014)",3.05,"Rotten Tomatoes"
"49","Fantastic Four (2015)",1,"Rotten Tomatoes"
"50","Terminator Genisys (2015)",3,"Rotten Tomatoes"
"51","Pitch Perfect 2 (2015)",3.4,"Rotten Tomatoes"
"52","Entourage (2015)",3.4,"Rotten Tomatoes"
"53","The Age of Adaline (2015)",3.4,"Rotten Tomatoes"
"54","Hot Pursuit (2015)",1.85,"Rotten Tomatoes"
"55","The DUFF (2015)",3.4,"Rotten Tomatoes"
"56","Black or White (2015)",3.4,"Rotten Tomatoes"
"57","Project Almanac (2015)",2.3,"Rotten Tomatoes"
"58","Ricki and the Flash (2015)",2.65,"Rotten Tomatoes"
"59","Seventh Son (2015)",1.75,"Rotten Tomatoes"
"60","Mortdecai (2015)",1.5,"Rotten Tomatoes"
"61","Unfinished Business (2015)",1.35,"Rotten Tomatoes"
"62","American Ultra (2015)",2.6,"Rotten Tomatoes"
"63","True Story (2015)",2.05,"Rotten Tomatoes"
"64","Child 44 (2015)",2.2,"Rotten Tomatoes"
"65","Dark Places (2015)",1.65,"Rotten Tomatoes"
"66","Birdman (2014)",3.9,"Rotten Tomatoes"
"67","The Gift (2015)",3.95,"Rotten Tomatoes"
